"Restaurant_Id","Restaurant_Name","Cusines","Rating","Price_for_One","Location","Delivery_review_number","Delivery Time","Link"
"65","Olio - The Wood Fired Pizzeria","Continental","4.0","150","Indiranagar","5000","33","https://www.swiggy.com/restaurants/olio-the-wood-fired-pizzeria-cmh-road-Indiranagar-bangalore-531381"
"66","89 Express Dhaba","North Indian","3.5","445","Btm Layout","10000","33","https://www.swiggy.com/restaurants/89-express-dhaba-1st-stage-btm-layout-bangalore-218496"
"67","Momoz","North Indian","4.0","175","Rt Nagar","1000","34","https://www.swiggy.com/restaurants/momoz-Ganganagar-bangalore-314691"
"68","Biryani Mount","North Indian","3.9","200","Kalyan Nagar","15000","38","https://www.swiggy.com/restaurants/biryani-mount-hrbr-layout-kalyan-nagar-bangalore-335221"
"69","MAFUQ BIRYANI","North Indian","4.0","150","Btm Layout","500","37","https://www.swiggy.com/restaurants/mafuq-biryani-1st-stage-btm-layout-bangalore-436179"
"70","WarmOven Cake &amp; Desserts","Desserts","4.2","100","Indiranagar","5000","25","https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-2nd-stage-Indiranagar-bangalore-19386"
"71","Istah - The Mediterranean Way","Arabian","4.3","125","Koramangala","10000","36","https://www.swiggy.com/restaurants/istah-the-mediterranean-way-6th-block-Koramangala-bangalore-293023"
"72","Coorg Spicy Kadai","South Indian","3.7","200","Hoysala Nagar","500","34","https://www.swiggy.com/restaurants/coorg-spicy-kadai-hennur-flyover-hbr-layout-bangalore-335382"
"73","Indori Poha","North Indian","4.1","100","Koramangala","15000","39","https://www.swiggy.com/restaurants/indori-poha-1st-block-Koramangala-bangalore-162807"
"74","Sharief Bhai","North Indian","4.1","200","Koramangala","1000","34","https://www.swiggy.com/restaurants/sharief-bhai-5th-block-Koramangala-bangalore-42060"
"75","The royal burgers","North Indian","3.9","100","M.S.R Nagar","5000","35","https://www.swiggy.com/restaurants/the-royal-burgers-msr-nagar-new-bel-road-bangalore-360031"
"76","Andhra Meals Express","North Indian","4.3","150","Hoysala Nagar","10000","30","https://www.swiggy.com/restaurants/andhra-meals-express-6th-sector-hsr-layout-bangalore-359881"
"77","Wow! China","Tibetan","3.9","150","Hoysala Nagar","500","45","https://www.swiggy.com/restaurants/wow-china-5th-sector-hsr-layout-bangalore-248787"
